1_7_posi,5_5_nega,22.291072942839946
4_3_posi,7_5_posi,10.142065371602747
5_3_posi,4_0_nega,10.514962216483951
5_3_posi,7_5_nega,11.664013143666061
7_1_nega,2_2_posi,18.59708920126795
7_1_nega,3_1_posi,12.819005973134972
7_1_nega,4_1_posi,14.501472534432532
7_1_nega,3_1_nega,16.66516556941258
7_1_nega,2_2_nega,15.53353514461872
7_1_nega,4_1_nega,16.275481871217007
7_1_nega,6_1_nega,10.079197027315182
7_1_nega,5_1_nega,15.494735900572156
7_4_posi,4_2_nega,11.670685407337508
7_4_posi,7_2_posi,11.216524401736985
7_4_posi,4_0_nega,12.104716599567805
7_4_posi,6_7_nega,10.307897182670107
7_4_posi,7_6_nega,10.31344071087087
7_4_posi,5_0_nega,11.325428941892381
1_4_posi,0_3_nega,11.324429282129861
1_4_posi,7_2_nega,10.23437723979085
1_7_nega,7_5_nega,10.245493290272062
1_7_nega,7_6_nega,10.301218179092304
1_7_nega,5_0_nega,10.464656765595572
1_5_posi,0_3_nega,10.499004297556484
1_5_posi,7_6_posi,10.53491579483138
1_5_posi,7_5_posi,10.061279711688613
1_5_posi,5_0_nega,10.0291636093616
7_0_posi,4_2_nega,10.02920909506265
7_0_posi,0_0_nega,10.175266244808006
7_0_posi,4_0_nega,11.354920561898235
7_0_posi,5_1_nega,10.386547721967105
7_0_posi,6_7_nega,10.094292577084435
7_0_posi,7_6_nega,11.374320618695414
7_0_posi,5_0_nega,11.357793318789303
0_2_posi,7_2_posi,10.478124491757498
0_2_posi,4_0_nega,10.056245942655082
0_2_posi,5_1_nega,10.12879637236846
0_2_posi,7_5_posi,10.179324350601403
0_2_posi,7_2_nega,10.962432013280631
0_2_posi,7_6_nega,12.92964085469643
0_2_posi,5_0_nega,10.403048193716767
2_7_nega,1_4_posi,12.117643110923922
2_7_nega,0_3_nega,16.04729622831976
2_7_nega,1_5_nega,18.76052299396078
2_7_nega,7_6_nega,10.784765592738742
1_2_nega,6_1_nega,10.803860216689317
1_2_nega,0_0_nega,10.738123463044822
1_2_nega,4_0_nega,10.978861338962695
1_2_nega,5_1_nega,10.730906353727168
1_2_nega,5_0_posi,10.05073893676561
1_2_nega,7_5_nega,10.253280540287326
1_2_nega,7_6_nega,10.97889015249109
2_0_nega,1_0_nega,11.478937600028713
2_0_nega,7_6_posi,10.225734677832042
2_0_nega,6_1_nega,10.885855621123952
2_0_nega,5_0_posi,10.66627533366756
2_0_nega,7_5_nega,10.293814200456346
2_0_nega,7_6_nega,12.224610787986792
3_5_nega,3_0_nega,11.168563535438516
3_5_nega,4_1_nega,11.034673777198304
3_5_nega,6_1_nega,10.183088065339142
3_5_nega,5_7_nega,12.739061402556967
3_5_nega,5_1_nega,10.562986708298329
3_5_nega,5_0_posi,11.465836437930012
3_5_nega,6_7_nega,10.109884119420506
3_5_nega,7_5_posi,10.863120838094426
3_5_nega,7_5_nega,10.48163169992037
3_5_nega,5_0_nega,12.732405147346654
2_6_nega,3_4_nega,10.39407867667121
2_6_nega,7_2_posi,10.93287788024147
2_6_nega,7_6_nega,10.613069804778092
2_6_nega,5_0_nega,10.268332320881004
3_3_posi,2_1_nega,14.900229427392738
3_3_posi,0_0_posi,10.684698450206778
3_3_posi,7_6_posi,10.2370021257477
3_3_posi,4_2_nega,11.58256069044499
3_3_posi,4_0_nega,11.495120316309231
3_3_posi,5_7_nega,10.375810538258806
3_3_posi,5_1_nega,10.352309570954848
3_3_posi,5_0_posi,12.08317478391142
3_3_posi,6_7_nega,10.32699232343675
3_3_posi,7_5_posi,10.603796553248129
3_3_posi,6_0_nega,11.546283148332199
3_3_posi,7_2_nega,10.565142944569734
3_3_posi,7_5_nega,11.636194381864554
3_3_posi,7_6_nega,14.136207164549607
3_3_posi,5_0_nega,11.69382166567226
1_1_nega,0_0_posi,10.27104758091797
