0_7_posi,5_5_nega,13.943187494266665
7_1_nega,2_2_posi,17.97089865966529
7_1_nega,2_2_nega,10.672453890038106
7_1_nega,3_1_nega,11.152503261453228
7_1_nega,4_1_posi,16.61460560922845
7_1_nega,5_1_nega,18.611381337335427
4_3_nega,5_0_posi,10.044967947846814
0_7_nega,5_0_posi,10.739685055159015
0_1_posi,7_5_posi,10.665717816275723
2_6_nega,3_4_nega,10.470100647645122
2_6_nega,7_5_posi,10.906379465699438
0_5_posi,7_6_posi,10.398016511004691
0_5_posi,6_0_nega,10.340125106825354
1_3_posi,4_0_nega,10.097973319910935
1_3_posi,6_0_nega,10.602619420521119
1_3_posi,7_5_nega,10.375854974609972
5_2_posi,7_5_posi,12.321703846006155
1_2_nega,3_3_nega,10.215867916586635
1_2_nega,6_5_posi,10.198666788111588
1_2_nega,4_1_posi,10.592826189986962
1_2_nega,0_0_posi,10.362382953773796
1_2_nega,7_6_posi,10.583741171597206
1_2_nega,7_2_posi,10.158476482090059
1_2_nega,6_7_nega,10.266817709946787
1_2_nega,5_0_posi,11.718994546813065
1_2_nega,7_5_posi,11.338680758024232
2_1_posi,6_0_posi,11.440562977303017
2_1_posi,4_0_posi,10.930001804426048
2_1_posi,6_1_nega,10.454523073094995
2_1_posi,0_0_nega,10.81454907910294
2_1_posi,5_1_nega,10.623787522762013
2_1_posi,7_5_posi,11.721949264557642
0_4_nega,4_0_posi,10.289102837135186
0_4_nega,4_0_nega,10.332079192597883
0_4_nega,7_2_nega,12.39240457086975
0_4_nega,5_0_nega,10.992486995875026
0_4_nega,7_6_nega,10.447836846843005
0_4_nega,7_5_nega,10.36339442151306
2_4_posi,3_4_nega,13.612963196195754
2_4_posi,4_1_posi,10.793810632157921
2_4_posi,7_6_posi,10.104964936654268
2_4_posi,4_0_nega,10.280606475915462
2_4_posi,5_1_nega,10.257143615759233
2_4_posi,5_0_posi,12.570049336857933
2_4_posi,7_5_posi,10.213584789301287
2_4_posi,7_6_nega,10.031417526946582
2_4_posi,7_5_nega,10.963079543186016
0_2_posi,7_0_nega,10.913553199549625
0_2_posi,5_7_posi,10.073001623312708
0_2_posi,4_0_posi,10.064854349406318
0_2_posi,7_6_posi,11.859698390468111
0_2_posi,6_1_nega,10.906947214134554
0_2_posi,5_0_posi,12.14670789105
0_2_posi,7_5_posi,11.466068690707703
0_2_posi,6_0_nega,10.518267025885175
0_2_posi,7_2_nega,11.610101204873917
0_2_posi,5_0_nega,10.695735799568949
0_2_posi,7_6_nega,11.07654441359243
0_2_posi,7_5_nega,10.9214232479584
3_6_nega,7_0_posi,11.853401909664065
3_6_nega,0_0_posi,12.387545731347174
3_6_nega,5_7_posi,10.752983623150373
3_6_nega,4_0_posi,10.632482179583036
3_6_nega,7_6_posi,11.723286570947884
3_6_nega,7_2_posi,10.675241449878483
3_6_nega,0_0_nega,10.039488379833696
3_6_nega,4_2_nega,10.624492527599012
3_6_nega,6_7_nega,10.16191333754352
3_6_nega,5_1_nega,11.254883210950995
3_6_nega,5_0_posi,13.498354205545139
3_6_nega,7_5_posi,13.87792300828298
3_6_nega,6_0_nega,11.08008153087414
3_6_nega,7_2_nega,10.20557185086627
3_6_nega,5_0_nega,12.00102265230569
3_6_nega,7_5_nega,11.481223539206525
3_3_posi,5_2_nega,10.437236588050098
3_3_posi,0_0_posi,10.675053257227326
3_3_posi,5_7_posi,12.886359481762302
3_3_posi,6_5_nega,11.283520106975066
3_3_posi,6_0_posi,10.54766892541583
3_3_posi,4_0_posi,10.944456609707277
3_3_posi,7_6_posi,11.681196260183366
3_3_posi,6_1_nega,12.661655873072535
3_3_posi,7_2_posi,10.715631413476633
3_3_posi,0_0_nega,10.756234149377079
3_3_posi,4_2_nega,10.604848027585485
3_3_posi,6_7_nega,13.123392620102766
3_3_posi,5_1_nega,11.531273974444735
3_3_posi,5_0_posi,12.554681405187438
3_3_posi,7_5_posi,12.137384300635338
3_3_posi,6_0_nega,12.280104554662048
3_3_posi,7_2_nega,13.929433964682321
3_3_posi,5_0_nega,11.478272738215754
3_3_posi,7_6_nega,13.251665866277254
3_3_posi,7_5_nega,15.50369360044835
2_3_nega,6_7_posi,12.85956346912096
2_3_nega,5_7_posi,10.933106327437377
2_3_nega,6_5_nega,10.191004189390918
2_3_nega,6_0_posi,10.004492375134747
2_3_nega,4_0_posi,12.409744257465785
2_3_nega,7_6_posi,12.394748372500086
2_3_nega,6_1_nega,10.672449719348851
2_3_nega,6_7_nega,11.298991680355504
2_3_nega,5_1_nega,11.99499365202884
2_3_nega,5_0_posi,14.302658851073756
2_3_nega,7_5_posi,16.2123698134988
2_3_nega,6_0_nega,11.72073761750395
2_3_nega,7_2_nega,12.484973384196964
2_3_nega,5_0_nega,12.370518102042475
2_3_nega,7_6_nega,11.013631459219225
2_3_nega,7_5_nega,13.251005541147615
1_5_posi,1_4_posi,11.655973652774886
1_5_posi,4_2_posi,13.336481652598122
1_5_posi,6_5_posi,11.234022685739431
1_5_posi,0_0_posi,12.92046852732068
1_5_posi,4_1_nega,12.678968622613525
1_5_posi,6_0_posi,12.006464847104386
1_5_posi,4_0_posi,11.32681633204029
1_5_posi,7_6_posi,11.590655548046529
1_5_posi,6_1_nega,10.823815104517124
1_5_posi,7_2_posi,11.253770047393521
1_5_posi,0_0_nega,10.043566340093365
1_5_posi,4_2_nega,17.76699103216897
1_5_posi,6_7_nega,10.749428161696821
1_5_posi,4_0_nega,12.102127241270733
1_5_posi,5_0_posi,14.932886249088543
1_5_posi,7_5_posi,12.738147346356136
1_5_posi,6_0_nega,11.539714430971408
1_5_posi,7_2_nega,12.63589259655004
1_5_posi,5_0_nega,14.297879901976376
1_5_posi,7_6_nega,13.857589502386809
1_5_posi,7_5_nega,15.87996277480331
1_3_nega,6_5_posi,10.510173485787796
1_3_nega,3_2_nega,11.441027481875592
1_3_nega,6_6_nega,12.22987878334036
1_3_nega,0_0_posi,11.03815492371181
1_3_nega,4_1_nega,11.291230919965505
1_3_nega,5_7_posi,13.43509930450174
1_3_nega,6_5_nega,10.516356528446057
1_3_nega,6_0_posi,11.896242066300262
1_3_nega,4_0_posi,12.072195068277592
1_3_nega,7_6_posi,12.466149825279276
1_3_nega,6_1_nega,11.099541556401073
1_3_nega,7_2_posi,11.03006640026326
1_3_nega,0_0_nega,11.030160763769974
1_3_nega,4_2_nega,11.422045408708142
1_3_nega,6_7_nega,11.800167607971652
1_3_nega,4_0_nega,10.916636918329937
1_3_nega,5_1_nega,11.269577181150815
1_3_nega,5_0_posi,15.125558770240577
1_3_nega,7_5_posi,14.954522108673908
1_3_nega,6_0_nega,13.593008357249657
1_3_nega,7_2_nega,13.466584323869867
1_3_nega,5_0_nega,13.959580509486711
1_3_nega,7_6_nega,11.456121122961019
1_3_nega,7_5_nega,14.691829609690409
1_0_nega,4_6_nega,11.369367473788405
1_0_nega,0_0_posi,10.04424703398098
1_0_nega,5_7_posi,11.848410640758603
1_0_nega,6_0_posi,12.08310983952717
1_0_nega,5_7_nega,10.115010544228873
1_0_nega,4_0_posi,13.49335261948842
1_0_nega,7_6_posi,10.101362895769588
1_0_nega,6_1_nega,10.318283850421222
1_0_nega,7_2_posi,11.344085102402731
1_0_nega,0_0_nega,11.914930078264836
1_0_nega,4_2_nega,10.042160513105092
1_0_nega,6_7_nega,12.414475137659526
1_0_nega,4_0_nega,11.556481309009293
1_0_nega,5_1_nega,10.434538195411278
1_0_nega,5_0_posi,14.960623078239337
1_0_nega,7_5_posi,15.865246756218509
1_0_nega,6_0_nega,11.962395426660578
1_0_nega,7_2_nega,12.386494121485988
1_0_nega,5_0_nega,12.880224969870213
1_0_nega,7_6_nega,14.45785658510671
1_0_nega,7_5_nega,14.386370793881671
3_5_nega,2_5_nega,11.552703754014338
3_5_nega,6_5_posi,10.292279009222778
3_5_nega,4_6_nega,11.490591767659854
3_5_nega,0_0_posi,10.890104332567077
3_5_nega,6_0_posi,11.180161034374338
3_5_nega,4_0_posi,11.869446078527547
3_5_nega,7_6_posi,11.395399062435768
3_5_nega,6_1_nega,13.73202491217248
3_5_nega,7_2_posi,12.527754408182195
3_5_nega,0_0_nega,10.18589157477615
3_5_nega,4_2_nega,15.754997948793866
3_5_nega,6_7_nega,11.776135400905211
3_5_nega,5_1_nega,15.607433881533792
3_5_nega,5_0_posi,12.78156359715755
3_5_nega,7_5_posi,14.980191879668048
3_5_nega,6_0_nega,13.409634960094905
3_5_nega,7_2_nega,12.29790687411081
3_5_nega,5_0_nega,11.90987979838334
3_5_nega,7_6_nega,13.283548137247221
3_5_nega,7_5_nega,12.80220538726533
4_5_posi,3_1_nega,10.142577565404594
4_5_posi,4_2_posi,10.394099499878184
4_5_posi,0_0_posi,11.810868625748265
4_5_posi,4_1_nega,10.106231966745638
4_5_posi,5_7_posi,12.153222662926659
4_5_posi,6_5_nega,11.241104368566049
4_5_posi,6_0_posi,12.506056203780702
4_5_posi,5_7_nega,12.050079131578755
4_5_posi,4_0_posi,12.604009188132096
4_5_posi,7_6_posi,12.409713503336429
4_5_posi,6_1_nega,11.833654965561683
4_5_posi,7_2_posi,12.937815083883116
4_5_posi,0_0_nega,10.084784562179365
4_5_posi,4_2_nega,13.975704299142429
4_5_posi,6_7_nega,12.459729181216666
4_5_posi,4_0_nega,11.73426528740959
4_5_posi,5_1_nega,11.884051362873077
4_5_posi,5_0_posi,15.448631703659991
4_5_posi,7_5_posi,15.494020486902986
