6_1_posi,2_1_nega,11.983499761403074
6_1_posi,3_2_posi,11.385714239799245
6_1_posi,1_2_nega,10.445795999479785
6_1_posi,1_1_nega,11.983254574086434
6_1_posi,3_1_nega,10.568918880012504
6_1_posi,2_1_posi,12.265079080050633
6_1_posi,2_2_nega,11.751245991565378
3_4_posi,3_3_nega,11.15304521167586
3_4_posi,1_1_posi,10.148513542454275
3_4_posi,3_6_posi,10.243917504811675
3_4_posi,7_6_posi,10.241295695838915
3_4_posi,3_2_nega,11.759108213444541
3_4_posi,2_2_posi,11.347056807450324
3_4_posi,2_0_nega,10.789437005075413
3_4_posi,2_1_nega,12.814698377447904
3_4_posi,3_2_posi,13.56253204984711
3_4_posi,3_1_posi,10.833437518901798
3_4_posi,1_1_nega,10.630849366565153
3_4_posi,3_1_nega,11.546722433670757
3_4_posi,2_2_nega,12.213401025169052
7_4_posi,1_2_posi,10.415774909794317
7_4_posi,3_3_posi,10.312497676858683
7_4_posi,4_2_nega,10.135769094986857
7_4_posi,3_3_nega,10.189164679541285
7_4_posi,1_1_posi,12.096113436717145
7_4_posi,2_0_posi,10.884484759542651
7_4_posi,6_2_nega,18.27715732378999
7_4_posi,2_3_nega,10.109436865038667
7_4_posi,3_6_posi,12.682049880201617
7_4_posi,7_6_posi,13.628353264585094
7_4_posi,3_2_nega,10.003407731678644
7_4_posi,2_2_posi,14.360535303492904
7_4_posi,2_0_nega,10.802253245337432
7_4_posi,2_1_nega,11.719041477861833
7_4_posi,3_2_posi,14.875445990641081
7_4_posi,1_2_nega,12.218890932207895
7_4_posi,3_1_posi,16.045848528975572
7_4_posi,1_1_nega,14.99070828132028
7_4_posi,3_1_nega,10.869912869472245
7_4_posi,2_1_posi,13.558803856650659
7_4_posi,7_6_nega,12.202851602261553
7_4_posi,2_2_nega,12.67624662569806
1_3_posi,4_1_posi,11.925228285267226
1_3_posi,3_6_nega,10.582625010031371
1_3_posi,3_3_nega,10.537398805581011
1_3_posi,1_1_posi,10.690205707208044
1_3_posi,4_1_nega,10.273725104188559
1_3_posi,7_6_posi,10.91759389250717
1_3_posi,3_2_nega,11.583041258199955
1_3_posi,2_2_posi,10.63704329069715
1_3_posi,2_0_nega,13.001150789973043
1_3_posi,2_1_nega,11.085916379651437
1_3_posi,3_2_posi,11.313624220270384
1_3_posi,3_1_posi,12.792990353889559
1_3_posi,3_1_nega,11.590448473610385
1_3_posi,2_1_posi,13.922847819513263
1_3_posi,7_6_nega,10.327493211317902
1_3_posi,2_2_nega,13.122885713674433
6_5_posi,4_1_posi,12.635008081151963
6_5_posi,3_0_posi,11.274097927856273
6_5_posi,4_0_nega,10.216928745984674
6_5_posi,3_3_posi,10.061888176179869
6_5_posi,3_6_nega,10.620203871591322
6_5_posi,3_0_nega,11.80694404602333
6_5_posi,4_2_nega,10.119356061253248
6_5_posi,3_3_nega,11.070523788195507
6_5_posi,1_1_posi,12.803487569755674
6_5_posi,4_1_nega,12.092993674132137
6_5_posi,4_3_nega,11.917793010370076
6_5_posi,2_3_nega,10.781935756971947
6_5_posi,3_6_posi,11.289805642807902
6_5_posi,7_6_posi,13.561920601033595
6_5_posi,3_2_nega,12.276847320792603
6_5_posi,2_2_posi,12.34322819156146
6_5_posi,2_0_nega,11.93587105529101
6_5_posi,2_1_nega,13.868923565001504
6_5_posi,3_2_posi,12.573186978539656
6_5_posi,1_2_nega,12.135018731210389
6_5_posi,3_1_posi,15.468011726603246
6_5_posi,1_1_nega,11.407680753643199
6_5_posi,3_1_nega,13.610060437320513
6_5_posi,2_1_posi,13.464029692026589
6_5_posi,7_6_nega,12.676256934251736
6_5_posi,2_2_nega,13.588420945558083
5_0_posi,3_0_posi,10.109608569965783
5_0_posi,1_2_posi,10.288134758211747
5_0_posi,3_3_nega,11.026378556180358
5_0_posi,1_1_posi,13.188245526906755
5_0_posi,4_1_nega,10.56155047659441
5_0_posi,2_3_nega,10.519306993399113
5_0_posi,3_6_posi,10.170039206850786
5_0_posi,7_6_posi,13.400353770969273
5_0_posi,3_2_nega,13.058257911972042
5_0_posi,2_2_posi,12.46437118076443
5_0_posi,2_0_nega,14.16648199952947
5_0_posi,2_1_nega,12.117428807981886
5_0_posi,3_2_posi,13.029148184728442
5_0_posi,1_2_nega,14.006240444172073
5_0_posi,3_1_posi,10.79508516007115
5_0_posi,1_1_nega,11.191367655112886
5_0_posi,3_1_nega,12.85853164879014
5_0_posi,2_1_posi,12.471208898623662
5_0_posi,7_6_nega,12.755223447763916
5_0_posi,2_2_nega,13.373674298390775
0_1_posi,4_1_posi,11.056827662837156
0_1_posi,3_0_posi,10.799158311855566
0_1_posi,3_0_nega,10.111825730346114
0_1_posi,3_3_nega,10.359720001466897
0_1_posi,1_1_posi,11.245285638513192
0_1_posi,2_0_posi,10.039017975981066
0_1_posi,4_1_nega,14.27965582436211
0_1_posi,3_6_posi,12.991354516604625
0_1_posi,7_6_posi,13.432014868296903
0_1_posi,3_2_nega,13.964756555532214
0_1_posi,2_2_posi,16.269373081042545
0_1_posi,2_0_nega,13.45401465492091
0_1_posi,2_1_nega,13.092284062675603
0_1_posi,3_2_posi,12.85828515505246
0_1_posi,1_2_nega,10.662629333612244
0_1_posi,3_1_posi,14.781841647586539
0_1_posi,1_1_nega,12.935434521408622
0_1_posi,3_1_nega,14.740124175048686
0_1_posi,2_1_posi,14.336372715137433
0_1_posi,7_6_nega,11.001874132166341
0_1_posi,2_2_nega,14.575619965694584
4_6_nega,4_1_nega,11.251748334494849
4_6_nega,3_6_posi,10.563775635107678
4_6_nega,7_6_posi,11.19243549143502
4_6_nega,2_2_posi,10.797286585332767
4_6_nega,2_0_nega,10.503347349017469
4_6_nega,3_2_posi,12.088517840077632
4_6_nega,1_2_nega,10.241517000705661
4_6_nega,3_1_posi,13.708416429819776
4_6_nega,1_1_nega,12.8238568042092
4_6_nega,3_1_nega,10.915423894908843
4_6_nega,2_1_posi,11.838778246655131
4_6_nega,2_2_nega,11.052725953817083
5_3_nega,6_5_nega,10.3394938573271
5_3_nega,1_0_nega,10.811405278527678
5_3_nega,4_2_posi,12.10952294171986
5_3_nega,4_1_posi,10.532748282945848
5_3_nega,3_0_posi,13.408407823744321
5_3_nega,4_0_nega,11.099218922453778
5_3_nega,1_2_posi,11.36479059243873
5_3_nega,3_3_posi,12.523036237386057
5_3_nega,3_0_nega,14.71683153079308
5_3_nega,4_2_nega,12.09815008253284
5_3_nega,3_3_nega,12.415501671542664
5_3_nega,1_1_posi,13.673201208045029
5_3_nega,2_0_posi,13.63658937797534
5_3_nega,4_1_nega,14.611151408867634
5_3_nega,4_3_nega,12.004992992736739
5_3_nega,7_7_nega,10.27061894749221
5_3_nega,6_2_nega,12.036832309995452
5_3_nega,2_3_nega,10.479889678433777
5_3_nega,3_6_posi,13.782083604571866
5_3_nega,7_6_posi,15.389639370217632
5_3_nega,3_2_nega,11.35464747133548
5_3_nega,2_2_posi,14.476113832752228
5_3_nega,2_0_nega,14.735435905069501
5_3_nega,2_1_nega,13.388386968442092
5_3_nega,3_2_posi,15.717423489157255
5_3_nega,1_2_nega,11.401895467612572
5_3_nega,3_1_posi,20.164208380055832
5_3_nega,1_1_nega,12.371507771718605
5_3_nega,3_1_nega,15.84809517393854
5_3_nega,2_1_posi,17.271813133922134
5_3_nega,7_6_nega,13.953469686053618
5_3_nega,2_2_nega,14.996481909735841
6_3_nega,2_3_posi,10.491968315114079
6_3_nega,4_2_posi,13.788970092274196
6_3_nega,4_1_posi,10.60969909385383
6_3_nega,3_0_posi,12.402042518820043
6_3_nega,4_0_nega,10.589761630669948
6_3_nega,3_3_posi,10.123608965767751
6_3_nega,3_0_nega,10.727824192905324
6_3_nega,3_3_nega,10.530126389313123
6_3_nega,1_1_posi,13.90092313222019
6_3_nega,2_0_posi,12.709403909629245
6_3_nega,4_1_nega,12.52853780190145
6_3_nega,4_3_nega,10.450745083025724
6_3_nega,2_3_nega,10.232338919551832
6_3_nega,3_6_posi,10.894000924578448
6_3_nega,7_6_posi,12.445539912870368
6_3_nega,3_2_nega,12.28514050531764
6_3_nega,2_2_posi,14.785181597872151
6_3_nega,2_0_nega,11.553919864032881
6_3_nega,2_1_nega,11.842962760130824
6_3_nega,3_2_posi,14.474814981045169
6_3_nega,1_2_nega,12.504433685157522
6_3_nega,3_1_posi,13.567873826265554
6_3_nega,1_1_nega,15.49223590461056
6_3_nega,3_1_nega,13.207648142462697
6_3_nega,2_1_posi,15.592035758721076
6_3_nega,7_6_nega,12.008528821950426
6_3_nega,2_2_nega,12.41711997107029
7_1_posi,3_0_posi,10.6383270432124
7_1_posi,3_3_posi,10.049934360236703
7_1_posi,3_3_nega,10.37414997531743
7_1_posi,1_1_posi,10.341170754868592
7_1_posi,4_1_nega,10.37298441190624
7_1_posi,3_6_posi,11.522312494848306
