6_7_nega,6_3_nega,10.368044152816408
0_1_posi,6_4_nega,10.299454908939836
0_1_posi,3_1_nega,10.45078755559199
5_5_nega,2_6_nega,11.34516902167382
4_4_posi,6_4_nega,11.429083798019022
4_4_posi,2_2_posi,10.252494036215257
4_4_posi,3_1_posi,10.60191067324319
4_4_posi,1_1_posi,10.209721183546822
4_4_posi,3_0_nega,10.868623970420552
4_4_posi,3_2_nega,10.376839699160012
4_4_posi,3_1_nega,10.325105682549264
4_4_posi,2_6_nega,10.108627711647097
4_4_posi,1_1_nega,10.619613310923123
5_4_posi,3_1_posi,10.618616599120005
5_4_posi,3_2_nega,11.890303849898475
5_4_posi,1_1_nega,10.2922150967306
4_0_posi,1_6_nega,10.034013684150766
4_0_posi,3_0_posi,10.021688950029866
4_0_posi,1_1_posi,10.361836833983718
4_0_posi,2_0_posi,10.618789825673963
3_4_nega,5_2_nega,10.028692690978659
3_4_nega,7_6_posi,10.30663371670655
3_4_nega,1_1_posi,10.671850065934258
3_4_nega,2_0_posi,10.616838400824578
3_4_nega,1_1_nega,10.149765849197419
3_4_nega,2_0_nega,10.7398049844589
3_7_nega,6_1_nega,10.596640439655463
3_7_nega,3_1_posi,12.560314880723352
3_7_nega,1_1_posi,10.076815304793122
3_7_nega,3_6_nega,10.749546444790987
3_7_nega,2_3_nega,11.115209746773665
3_7_nega,2_2_nega,11.84171804722213
3_7_nega,3_1_nega,12.52724587053822
3_7_nega,2_6_nega,11.057499105111226
7_3_nega,6_1_nega,10.283694722322625
7_3_nega,2_2_posi,11.50705267524991
7_3_nega,1_1_posi,10.121773801381657
7_3_nega,2_0_posi,11.307193508948833
7_3_nega,2_3_nega,10.666057080166686
7_3_nega,2_0_nega,10.699219298562372
6_3_posi,5_2_nega,11.032180733285086
6_3_posi,3_0_posi,11.95146779039268
6_3_posi,6_4_nega,10.439006536354455
6_3_posi,7_7_nega,10.197237991364695
6_3_posi,7_6_posi,11.21129071795133
6_3_posi,3_2_posi,10.372100231439966
6_3_posi,3_1_posi,13.558699843947148
6_3_posi,1_1_posi,12.612347841144544
6_3_posi,3_0_nega,10.609402543203604
6_3_posi,1_2_nega,12.29194288636047
6_3_posi,3_1_nega,10.169162201151817
6_3_posi,7_6_nega,12.595268652914699
6_3_posi,2_0_nega,11.949200143373503
0_7_posi,1_6_nega,10.307500022193596
0_7_posi,2_3_posi,10.334932293131969
0_7_posi,3_0_posi,11.152672274094602
0_7_posi,6_4_nega,10.073192361683171
0_7_posi,7_6_posi,11.073316470565247
0_7_posi,2_2_posi,11.973652672332973
0_7_posi,3_2_posi,11.328630117451658
0_7_posi,1_1_posi,10.107551461621881
0_7_posi,2_0_posi,10.455342975002113
0_7_posi,3_0_nega,10.81683657691352
0_7_posi,1_2_nega,10.15969646756141
0_7_posi,3_1_nega,10.692423738551122
0_7_posi,1_1_nega,11.374993421737853
4_5_posi,7_5_nega,10.04852654674983
4_5_posi,3_6_posi,10.250205111084883
4_5_posi,6_5_nega,10.504971837261369
4_5_posi,3_0_posi,12.032876755347298
4_5_posi,1_3_nega,10.487956552813726
4_5_posi,2_2_posi,10.126146460411086
4_5_posi,3_1_posi,10.642984001287221
4_5_posi,1_1_posi,13.042457947398635
4_5_posi,2_0_posi,10.369894025100592
4_5_posi,3_0_nega,11.012034386073953
4_5_posi,1_2_nega,12.523921262910598
4_5_posi,3_1_nega,10.214709983855771
4_5_posi,7_6_nega,10.48591724505306
4_5_posi,1_1_nega,10.798494321865718
4_5_posi,2_0_nega,11.001037120494818
5_6_nega,1_4_nega,10.460179442662238
5_6_nega,2_2_posi,10.329264975371359
5_6_nega,3_2_posi,10.800840387244477
5_6_nega,3_1_posi,14.009486690846154
5_6_nega,1_1_posi,11.766730351619728
5_6_nega,2_0_posi,12.041227039451392
5_6_nega,3_0_nega,10.564125588855141
5_6_nega,1_2_nega,12.015141541931158
5_6_nega,3_2_nega,13.023147833748048
5_6_nega,2_2_nega,10.383540665507319
5_6_nega,3_1_nega,12.562351365342392
5_6_nega,2_6_nega,11.302854852114995
5_6_nega,1_1_nega,10.500152558950855
5_6_nega,2_0_nega,12.416851942865529
7_0_nega,0_4_posi,10.243541886922005
7_0_nega,3_0_posi,11.635565611009978
7_0_nega,1_3_nega,10.234295166017253
7_0_nega,7_7_nega,10.410142759836626
7_0_nega,3_2_posi,10.598335896517463
7_0_nega,3_1_posi,10.29958541059168
7_0_nega,1_1_posi,10.057623033832389
7_0_nega,2_0_posi,11.300206006217236
7_0_nega,3_0_nega,10.88133320267053
7_0_nega,1_2_nega,11.225990774383707
7_0_nega,2_3_nega,11.329991116030314
7_0_nega,2_2_nega,10.7709431146672
7_0_nega,2_6_nega,10.67616582231881
7_0_nega,7_6_nega,13.590861790577819
7_0_nega,1_1_nega,11.342812006771075
7_0_nega,2_0_nega,12.045016837313916
6_2_nega,5_0_nega,12.568891577889246
6_2_nega,1_2_posi,11.997339062331665
6_2_nega,5_1_nega,17.33805301008573
6_2_nega,5_2_nega,10.994198259100987
6_2_nega,7_6_posi,10.859262777221248
6_2_nega,3_3_nega,10.43699311615162
6_2_nega,4_6_nega,11.14848569386939
6_2_nega,3_1_posi,12.219814339965982
6_2_nega,1_1_posi,10.95122450026761
6_2_nega,3_6_nega,10.506862724305458
6_2_nega,2_0_posi,11.394745875219876
6_2_nega,1_2_nega,10.811405443842402
6_2_nega,3_2_nega,10.054082746617679
6_2_nega,2_3_nega,13.118242548803986
6_2_nega,2_2_nega,10.872048774535813
6_2_nega,3_1_nega,16.33238263238528
6_2_nega,2_6_nega,11.905694641736382
6_2_nega,7_6_nega,11.25402596628502
6_2_nega,1_1_nega,11.231487965114967
6_2_nega,2_0_nega,12.952640186047262
7_2_posi,4_2_posi,10.01891031260216
7_2_posi,7_5_posi,11.34761365847276
7_2_posi,1_6_nega,10.07454781542267
7_2_posi,3_3_posi,10.502872762986678
7_2_posi,2_3_posi,12.840234369729655
7_2_posi,0_3_nega,12.233299835644742
7_2_posi,4_2_nega,10.896458750358796
7_2_posi,4_3_nega,10.559363089267197
7_2_posi,3_0_posi,10.489038673666059
7_2_posi,1_3_nega,10.057777280281615
7_2_posi,6_4_nega,10.361858361023513
7_2_posi,7_6_posi,12.403029694263067
7_2_posi,3_3_nega,10.759417470986861
7_2_posi,2_2_posi,12.215657713944603
7_2_posi,4_6_nega,10.12766567278411
7_2_posi,3_2_posi,10.84282364607474
7_2_posi,3_1_posi,11.338496136714337
7_2_posi,0_4_nega,10.853589394263771
7_2_posi,1_1_posi,12.202400906443003
7_2_posi,3_6_nega,10.912258965273324
7_2_posi,2_0_posi,10.744318256906428
7_2_posi,3_0_nega,11.655311344552489
7_2_posi,1_2_nega,10.719556755261053
7_2_posi,3_2_nega,12.300684258404537
7_2_posi,2_3_nega,10.00470371031987
7_2_posi,2_6_nega,13.065723383974149
7_2_posi,7_6_nega,10.828824082562921
7_2_posi,1_1_nega,13.177411563814458
7_2_posi,2_0_nega,12.10284848734651
5_0_posi,2_3_posi,10.483936913452752
5_0_posi,0_6_nega,10.778427498508044
5_0_posi,6_5_nega,10.078929087853446
5_0_posi,3_0_posi,11.764252968966394
5_0_posi,1_3_nega,10.088455302576829
5_0_posi,7_7_nega,11.275682746332095
5_0_posi,3_5_nega,10.146871190051689
5_0_posi,2_2_posi,12.14466434518041
5_0_posi,4_6_nega,10.845723775851056
5_0_posi,3_2_posi,11.035297937727291
5_0_posi,3_1_posi,10.87312392130691
5_0_posi,1_1_posi,12.482750251247904
5_0_posi,2_0_posi,11.158216558826325
5_0_posi,3_0_nega,11.54398503843683
5_0_posi,3_2_nega,11.419661941065279
5_0_posi,2_3_nega,11.505379108015816
